file	slot	name	desc	grade	price	prereqs_any	prereqs_and	exclude_any
itm_b_Blazing_Armor	Body	Blazing Shell	Enemies that touch you have a high chance to start burning. (50%)\n+ 6 Block Strength	3	8000	["q_Ember_ScorchedKilled_1"]		
itm_b_Chain_Mail	Body	Chain Mail	="+10% health capacity\n+ 3 defense"	1	2000			
itm_b_DefiantPlate	Body	Defiant Plate	Grants 3 Defense for 5 seconds after taking damage.\nCan't go over 30 Defense.	1	7000	["q_Shieldmaiden_NoDefense_1"]		
itm_b_HunterGarb	Body	Hunter's Garb	If you stand still your damage is increases by 8% per second (up to 40%). The bonus is reset as soon as you move.	2	6000	["q_Archer_Stay_1"]		
itm_b_LeechSkin	Body	Blood-Soaked Shirt	Killing an enemy has a 3% chance to give you 1 health point	2	5000	["q_Swordsman_Regenerate_1"]		
itm_b_Plate_Armor	Body	Plate Armor	="+6 block strength"	1	2000			
itm_b_ShadowCloak	Body	Shadow Cloak	Spawns shadows near you that damage enemies and increase your block strength by 10.	2	5000	["q_Warlock_Evade_1"]		
itm_f_ElectrostaticTreads	Feet	Electrostatic Treads	Charges up when you move. When fully charged emits an electric shock wave that damages and stuns enemies.	3	8000	["q_Sorceress_MovingSpeed_1"]		
itm_f_ElvenBoots	Feet	Elven Slippers	Increases block strength while moving. Builds up by moved distance. Block strength is limited to 10, movement speed buffs increase the cap. Standing still removes the bonus.	2	4000	["q_Archer_Level_1"]		
itm_f_Firewalker	Feet	Firewalker Boots	While you move you produce a trail of fire that damages your enemies. Firepatches have a low chance to burn enemies.	3	8000	["q_Exterminator_Walk_1"]		
itm_f_Goo_Shoes	Feet	Bogged Boots	Leave a trail of goo, Enemies that touch the goo slow down. Puddles disappear after 10 seconds or when several enemies moved over it.	1	4000	["q_Caverns_SlimesKilled_1"]		
itm_f_Pacemaker	Feet	Pace Setter	For every 10 seconds without moving, you heal 1% of your max. health.	2	4000	["q_Cleric_NoRegeneration_1"]		
itm_f_Plated_Boots	Feet	Plated Boots	="+3 defense\n+3 block strength"	1	2000			
itm_f_Runner_Shoes	Feet	Runner Shoes	="+15% movement speed"	1	2000			
itm_f_Spike_Boots	Feet	Spike Boots	When hit, drop 10 spikes to the ground that deal 100 damage and stun the enemy on contact. Takes 4 seconds to recharge. Can't be blocked.	2	3000	["q_Swordsman_Walk_1"]		
itm_g_FancerGauntlets	Gloves	Fencer Gauntlets	Each time you block you have a 50% chance for an additional attack that always crits.\n+5 Block Strength	3	5000	["q_Shieldmaiden_Crits_1"]		
itm_g_HuntingGloves	Gloves	Hunting Gloves	="+30% Additional Strike / Projectile"	2	3500	["q_Archer_Kills_1"]		
itm_g_InvokatorsGrasp	Gloves	Invocator's Grasp	="+40% Summon Spawns\n+40% Summon Duration\n+20% Summon Damage"	3	6500	["q_Warlock_Level_2"]		
itm_g_Longfinger_Gloves	Gloves	Longfinger Gloves	="+80% pickup range"	1	2000			
itm_g_Quickhand_Gloves	Gloves	Quickhand Gloves	="+20% attack speed"	1	2000			
itm_g_SpellcasterGloves	Gloves	Spellcaster Gloves	When you do not use your main attack for 2 seconds, your abilities become stronger over time, up to 66.6%.	3	6660	["q_Ember_Wellkeeper_3"]		
itm_g_Thornfists	Gloves	Thornfists	Deals a critical hit to each enemy that hurts you.	2	3000	["q_Swordsman_GetHit_1"]		
itm_h_BabarianCrown	Head	Wind Crown	1% attack speed for 5s for each killed enemy (up to +50% attack speed).	1	7000	["q_Archer_Evade_1"]		
itm_h_DevouringHands	Gloves	Devouring Hands	When you die, Devouring Hands will consume a random equipped item to revive you with 30% of your max health	1	10000	["_NA"]		
itm_h_FightersHeadband	Head	Fighter's Headband	On killing a boss or elite: Activate health regeneration for 30 seconds regenerating 1% health per second.	2	3000	["q_Swordsman_BossKills_1"]		
